Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C_Small","C_0805_2012Metric",49.1500,49.1000,180.0000,bottom
"C2","2.2uF","C_0805_2012Metric",7.7000,48.0625,-90.0000,bottom
"C5","10uF","C_0805_2012Metric",15.5000,30.2375,-90.0000,bottom
"C8","10uF","C_0805_2012Metric",32.5000,56.3625,90.0000,bottom
"C9","100nF","C_0805_2012Metric",30.5000,56.3625,90.0000,bottom
"C10","1uF","C_0805_2012Metric",0.0000,32.2375,90.0000,bottom
"C11","1uF","C_0805_2012Metric",0.0000,35.8000,-90.0000,bottom
"D1","1A 20V 15MQ040N","D_SMA",3.0000,30.4000,-90.0000,bottom
"D2","BZV55C-3,6V","D_MiniMELF",22.5000,55.7000,180.0000,bottom
"J1","Conn_01x04_Male","TE_84952-4_1x04-1MP_P1.0mm_Horizontal",25.3000,23.2500,180.0000,bottom
"L1","4.7uH","L_Bourns_SRN6045TA",10.6000,28.7000,180.0000,bottom
"R1","910k","R_0805_2012Metric",11.4000,48.0000,-90.0000,bottom
"R2","0R","R_0805_2012Metric",42.5000,45.1375,-90.0000,bottom
"R3","0R","R_0805_2012Metric",42.5000,41.7000,-90.0000,bottom
"R4","0R","R_0805_2012Metric",38.2000,45.1000,-90.0000,bottom
"R5","0R","R_0805_2012Metric",38.2000,41.6625,-90.0000,bottom
"R6","10k","R_0805_2012Metric",5.2500,61.8125,-90.0000,bottom
"R7","73k2","R_0805_2012Metric",5.8000,33.4000,90.0000,bottom
"R8","8k2","R_0805_2012Metric",5.8000,36.7625,90.0000,bottom
"R9","100R","R_0805_2012Metric",2.4000,35.7375,90.0000,bottom
"R10","0R","R_0805_2012Metric",16.3000,47.7625,-90.0000,bottom
"R11","0R","R_0805_2012Metric",25.2000,47.8000,-90.0000,bottom
"R12","0R","R_0805_2012Metric",29.2000,47.6625,-90.0000,bottom
"R13","10k","R_0805_2012Metric",18.9000,47.7625,90.0000,bottom
"R14","10k","R_0805_2012Metric",22.0000,47.7625,90.0000,bottom
"U1","TLV840","SOT-23-5",49.5375,46.8500,180.0000,bottom
"U2","MIC5504-2.5YM5","SOT-23-5",28.7000,4.8000,180.0000,bottom
"U3","MAX5026","TSOT-23-6",11.9503,34.6236,-90.0000,bottom
"U4","TSC2007","TSSOP-16_4.4x5mm_P0.65mm",39.8000,28.9000,0.0000,bottom
"U5","PCA9306DP","TSSOP-8_3x3mm_P0.65mm",37.1000,7.4000,180.0000,bottom
